memory,cores,cost,name,provider
,,,,gcloud
3.75GB,1,$0.045,n1-standard-1,gcloud
7.5GB,2,$0.089,n1-standard-2,gcloud
15GB,4,$0.177,n1-standard-4,gcloud
30GB,8,$0.353,n1-standard-8,gcloud
60GB,16,$0.706,n1-standard-16,gcloud
120GB,32,$1.412,n1-standard-32,gcloud
,,,,gcloud
13GB,2,$0.104,n1-highmem-2,gcloud
26GB,4,$0.208,n1-highmem-4,gcloud
52GB,8,$0.415,n1-highmem-8,gcloud
104GB,16,$0.829,n1-highmem-16,gcloud
208GB,32,$1.658,n1-highmem-32,gcloud
,,,,gcloud
1.80GB,2,$0.056,n1-highcpu-2,gcloud
3.60GB,4,$0.112,n1-highcpu-4,gcloud
7.20GB,8,$0.224,n1-highcpu-8,gcloud
14.40GB,16,$0.448,n1-highcpu-16,gcloud
28.80GB,32,$0.896,n1-highcpu-32,gcloud
,,,,gcloud
0.60GB,1,$0.009,f1-micro,gcloud
1.70GB,1,$0.023,g1-small,gcloud
